ID,Comments,raw text,emojis
23,happy easter sunday 💐🐇,happy easter sunday ,['🐇']
24,happy easter!  🐣🐇🐥what a great smile. 😊,happy easter!  what a great smile. ,"['🐣', '🐇']"
25,happy easter 🐣🐰🐇 🤗,happy easter  ,"['🐣', '🐰', '🐇']"
26,"happy easter to all my friends! whether you are a floof (cat), bunny, turtle, human, etc…have a super awesome day and keep that sparkle and shine goin’ strong! 😁😎💯🐇🐣🥰","happy easter to all my friends! whether you are a floof (cat), bunny, turtle, human, etc…have a super awesome day and keep that sparkle and shine goin’ strong! ","['😎', '🐇', '🐣', '🥰']"
27,happy easter friends! 🐇🌸💐🐣,happy easter friends! ,"['🐇', '🐣']"
28,thank you very much joanne 😘 i also wish you a happy easter sunday.  🐇🐣 and thank you for your gif it's very cute 🥰,thank you very much joanne  i also wish you a happy easter sunday.   and thank you for your gif it's very cute ,"['🐇', '🐣', '🥰']"
29,such a beautiful smile 😃.  happy easter. 🐇,such a beautiful smile .  happy easter. ,['🐇']
30,and you too 😊🌸🐇🐣 loud music playing to drown out very noisy neighbours here! 🎶🎸,and you too  loud music playing to drown out very noisy neighbours here! ,"['🐇', '🐣']"
31,you're welcome 🤗,you're welcome ,[]
32,good morning lisa and happy easter 🥰🐣🐇,good morning lisa and happy easter ,"['🥰', '🐣', '🐇']"
33,happy easter! 🐇 have a great day,happy easter!  have a great day,['🐇']
34,happy easter 🐇🌺🌸🌷,happy easter ,['🐇']
35,happy easter to you 😎☕️🐇,happy easter to you ☕️,"['😎', '🐇']"
36,"good morning, paula! thank you so much, and i hope you do as well. 😊☀️🐇🦋🌸🕊️","good morning, paula! thank you so much, and i hope you do as well. ☀️️",['🐇']
37,the size of this lagomorph! 🐇 🐾🐾,the size of this lagomorph!  ,['🐇']
38,good morning  happy easter to those who celebrate 🐣🐇💗,good morning &amp; happy easter to those who celebrate ,"['🐣', '🐇']"
39,"happy raster!!!!🐇 hope yours is more restful than mine. turned 20 today, and celebrating on the easter weekend can be quite busy😂","happy raster!!!! hope yours is more restful than mine. turned 20 today, and celebrating on the easter weekend can be quite busy","['🐇', '😂']"
40,"great architecture 

happy easter 🐇🐣 🌷","great architecture 

happy easter  ","['🐇', '🐣']"
41,yourself  family happy easter 🐰🐣🐇,yourself &amp; family happy easter ,"['🐰', '🐣', '🐇']"
42,"i love you freen, you did great today my love. i know it can be sometimes overwhelming  and hard whenever it happens but you still show us how talented our🐇 is. it’s okay my love, i’m very proud of you. i hope you can fully heal sooner.
#srchafreen","i love you freen, you did great today my love. i know it can be sometimes overwhelming  and hard whenever it happens but you still show us how talented our is. it’s okay my love, i’m very proud of you. i hope you can fully heal sooner.
#srchafreen",['🐇']
43,happy easter 🐰🐇,happy easter ,"['🐰', '🐇']"
44,#happyeaster2023 everyone 😘❤️🐣🐇🍫 #eastersunday #easter,#happyeaster2023 everyone ❤️ #eastersunday #easter,"['🐣', '🐇']"
45,happy easter🐇🩷,happy easter🩷,['🐇']
46,happy easter love  like to have a bit of bunny with you (talk). everything done for the day caroline going to turn up at my parents house later.  got the football to watch paul might turn up later. got my fingers crossed for you.  🐇 🐰 🥚 🐣,happy easter love  like to have a bit of bunny with you (talk). everything done for the day caroline going to turn up at my parents house later.  got the football to watch paul might turn up later. got my fingers crossed for you.     ,"['🐇', '🐰', '🥚', '🐣']"
47,🤣 😂 that's hilarious,  that's hilarious,"['🤣', '😂']"
48,happy easter 🐇,happy easter ,['🐇']
49,"🐰 happy easter and happy shopping
easter sale 🐇
🎈 2 free sandbags for all orders until tuesday, 11/4!
💌 dm for yours.

#eastersale#bouncehouse#whitebouncehouse#bouncecastle#whitebouncycastle#bouncyhouse#inflatablewaterslide#inflatable#bounce#jump#wedding#birthday#party"," happy easter and happy shopping
easter sale 
 2 free sandbags for all orders until tuesday, 11/4!
 dm for yours.

#eastersale#bouncehouse#whitebouncehouse#bouncecastle#whitebouncycastle#bouncyhouse#inflatablewaterslide#inflatable#bounce#jump#wedding#birthday#party","['🐰', '🐇']"
50,let us know if you see him tigger  🐇 #hedgewatch,let us know if you see him tigger   #hedgewatch,['🐇']
51,i’m pretending that my cousin joey’s dog sarge is easter bunny… ❤️🐶🐇❤️,i’m pretending that my cousin joey’s dog sarge is easter bunny… ❤️❤️,['🐇']
52,"happy easter to you and yours!
🤗💕🌿☀️🐇🐣🐥🐣","happy easter to you and yours!
☀️","['🐇', '🐣', '🐣']"
53,happy easter to your family also daz. look at that beautiful happy face!!🥰hope you all have a lovely day!!🙏🐇🐥🐣,happy easter to your family also daz. look at that beautiful happy face!!hope you all have a lovely day!!,"['🥰', '🙏', '🐇', '🐣']"
54,happy easter 🐣🐇🐰,happy easter ,"['🐣', '🐇', '🐰']"
55,happy easter richard..that was the fastest week ever 🤦🐥🐇,happy easter richard..that was the fastest week ever ,['🐇']
56,gm let's get it fam it's the easter. 🐇,gm let's get it fam it's the easter. ,['🐇']
57,happy easter to you  the family! 🐻⬇️💯🐇🐰🐣,happy easter to you &amp; the family! ⬇️,"['🐇', '🐰', '🐣']"
58,"happy easter everyone

🐣🌷🥚🌼🐇
#eastereggs #adoptme #chocolate","happy easter everyone


#eastereggs #adoptme #chocolate","['🐣', '🥚', '🐇']"
59,happy easter sunday 🐇 early morning ls.,happy easter sunday  early morning ls.,['🐇']
60,happiest of the holidays to you all. 🐇🐰🐣 looking forward to these blooming soon here.,happiest of the holidays to you all.  looking forward to these blooming soon here.,"['🐇', '🐰', '🐣']"
61,good morning ☀️ have a wonderful new week 🌿🌺🐇,good morning ☀️ have a wonderful new week ,['🐇']
62,good morning and happy easter 🥰🐣🐇,good morning and happy easter ,"['🥰', '🐣', '🐇']"
63,wishing you a very happy and blessed #easter! 🐰🐇🐣🌷🥚,wishing you a very happy and blessed #easter! ,"['🐰', '🐇', '🐣', '🥚']"
64,"have a wonderful  blessed easter, cardinals! 🐰🌷💐🐇 

we hope you have a safe and relaxing easter break. catholicu will be closed on monday april 10 and classes will resume on tuesday.","have a wonderful &amp; blessed easter, cardinals!  

we hope you have a safe and relaxing easter break. catholicu will be closed on monday april 10 and classes will resume on tuesday.","['🐰', '🐇']"
65,ryan the bunnies are enjoying the fruits of your crop when you aren’t looking 😉🐇 🍓,ryan the bunnies are enjoying the fruits of your crop when you aren’t looking  ,"['😉', '🐇']"
66,"happy easter to everyone who celebrates! 🐇

we hope your sunday is filled with love, fun and happiness. 🐤 did your family have an easter egg hunt this year?","happy easter to everyone who celebrates! 

we hope your sunday is filled with love, fun and happiness.  did your family have an easter egg hunt this year?",['🐇']
67,to all who celebrate. happy easter! 🐰🐇🥚,to all who celebrate. happy easter! ,"['🐰', '🐇', '🥚']"
68,"hoppy easter from thumper and me! 🐇💐❤️🐵
#eastersunday #storybookmonkeys","hoppy easter from thumper and me! ❤️
#eastersunday #storybookmonkeys",['🐇']
69,good morning happy easter☕️☀️🐇🕊️,good morning happy easter☕️☀️️,['🐇']
70,"she is not risen quite yet, please check back around brunch ok 🐇🐣🐦🌷🪻🪺❤️","she is not risen quite yet, please check back around brunch ok 🪻🪺❤️","['🐇', '🐣']"
71,"old: silver coins 🪙 50 cent piece’s, dollar coins  paper money. 💵 

happy easter, dear friend and brother #alexandriaboy !! 🐇💐🐣","old: silver coins 🪙 50 cent piece’s, dollar coins &amp; paper money.  

happy easter, dear friend and brother #alexandriaboy !! ","['🐇', '🐣']"
72,peggy have a beautiful and blessed easter sunday. 💜💛🙏🙏🙏🐰🐇🐣✝️,peggy have a beautiful and blessed easter sunday. ✝️,"['🙏', '🙏', '🙏', '🐰', '🐇', '🐣']"
73,good morning nicolette and happy easter 🥰🐣🐇,good morning nicolette and happy easter ,"['🥰', '🐣', '🐇']"
74,"happy easter! 
follow the 🐇
 #easter #rabbit2023 $rabbit #easter2023 #happyeaster

.","happy easter! 
follow the 
 #easter #rabbit2023 $rabbit #easter2023 #happyeaster

.",['🐇']
75,good morning and happy easter 🐇,good morning and happy easter ,['🐇']
76,gm let's get it fam it's the easter. 🐇,gm let's get it fam it's the easter. ,['🐇']
77,happy easter 🐇  #annualaddison #classic,happy easter   #annualaddison #classic,['🐇']
78,"rt wineenthusiast: hopping straight into these wine pairings... 🐇⁠

see a selection of wines to match #easter's most delicious treats here 👉","rt wineenthusiast: hopping straight into these wine pairings... ⁠

see a selection of wines to match #easter's most delicious treats here ","['🐇', '👉']"
79,"happy easter! 🐇🌸 both our #ballard + #losalamos locations are open today regular hours! hop in early for #hotcrossbuns + #easterpanettone 🐇🌸 available first come, first served! #bobswellbread","happy easter!  both our #ballard + #losalamos locations are open today regular hours! hop in early for #hotcrossbuns + #easterpanettone  available first come, first served! #bobswellbread","['🐇', '🐇']"
80,happy easter to you and your mom ✝️🐇,happy easter to you and your mom ✝️,['🐇']
81,happy easter 4 u     family. have a great time 🐇🐣👯‍♀️,happy easter 4 u  &amp;  &amp; family. have a great time ‍♀️,"['🐇', '🐣']"
82,"babies first easter basket from mawmaw  pawpaw, and mommy  daddy 🐣💛🐇","babies first easter basket from mawmaw &amp; pawpaw, and mommy &amp; daddy ","['🐣', '🐇']"
83,happy easter to you too! 🌷🐇,happy easter to you too! ,['🐇']
84,task completed. thank's for everything 🙏 🐇,task completed. thank's for everything  ,"['🙏', '🐇']"
85,easter egg toy fun! happy easter everyone ☀️🐣🐇,easter egg toy fun! happy easter everyone ☀️,"['🐣', '🐇']"
86,"happy easter jillian and jeremy 🐣🐇 

awe 🫠 they are too cute all cuddled up with the both of you 😊 hope that you are both doing well 🫠 

trying to think of where to go today for the 📸 challenge 😜 

have a great day 😉","happy easter jillian and jeremy  

awe  they are too cute all cuddled up with the both of you  hope that you are both doing well  

trying to think of where to go today for the  challenge  

have a great day ","['🐣', '🐇', '\U0001fae0', '\U0001fae0', '😉']"
87,happy easter to all you birds and bunnies out there! 🐣🐇🪺🌷✨,happy easter to all you birds and bunnies out there! 🪺✨,"['🐣', '🐇']"
88,thank you so much 🌿 happy easter and new week 🐇,thank you so much  happy easter and new week ,['🐇']
89,happy easter everyone 🐇🐰,happy easter everyone ,"['🐇', '🐰']"
90,amen sir!  happy easter!🐇,amen sir!  happy easter!,['🐇']
91,happy easter 🐣🐇 mary have a great day …,happy easter  mary have a great day …,"['🐣', '🐇']"
92,"happy easter to you all ! wishing you a day filled with many blessings and lots of love and laughter! 💚🐇💚🐣💚🐰💚.                            julie bishop, crye-leike realtors o:601-853-3995 c:601-624-9292","happy easter to you all ! wishing you a day filled with many blessings and lots of love and laughter! .                            julie bishop, crye-leike realtors o:601-853-3995 c:601-624-9292","['🐇', '🐣', '🐰']"
93,"thank you youkk! :d 

excited to see more animations from you 💙","thank you youkk! :d 

excited to see more animations from you ",[]
94,good morning happy easter☕️☀️🐇🕊️,good morning happy easter☕️☀️️,['🐇']
95,happy easter 🐇,happy easter ,['🐇']
96,just worried bro don’t want it lost 😞 or not to arrive as there’s no tracking number this all it says and no new updates and i wanna order more merch but wanna wait until first order arrives 😭😭ur team emailed me but nothing since just stressd,just worried bro don’t want it lost  or not to arrive as there’s no tracking number this all it says and no new updates and i wanna order more merch but wanna wait until first order arrives ur team emailed me but nothing since just stressd,"['😭', '😭']"
97,"have a blessed easter 
😇🙏🇺🇸🐣🐇☕️☕️","have a blessed easter 
☕️☕️","['😇', '🙏', '🐣', '🐇']"
98,wishing all our comet families a very happy easter! 🐇🐣🌷,wishing all our comet families a very happy easter! ,"['🐇', '🐣']"
99,happy easter 🐇🐇🐥🐰🐤🐣,happy easter ,"['🐇', '🐇', '🐰', '🐣']"
100,good morning ☀️ beautiful friends wishing everyone a happy easter !! 🐇😘💋,good morning ☀️ beautiful friends wishing everyone a happy easter !! ,['🐇']
101,"goodnight twitterland, i hope you all got a visit from the easter 🐇🐰","goodnight twitterland, i hope you all got a visit from the easter ","['🐇', '🐰']"
102,happy easter wendy that's not nice of the easter bunny could have at least brought you flowers lol 😆 😊❤️🐇🐣😆,happy easter wendy that's not nice of the easter bunny could have at least brought you flowers lol  ❤️,"['🐇', '🐣']"
103,a wonderful sunday and happy easter to everyone that celebrates🐇🌼🐣🐰 so thankful for the beauty of nature and people like the #wildearth naturalists that bring africa into our living-room. sending everyone who’d like one and needs one a big virtual hug,a wonderful sunday and happy easter to everyone that celebrates so thankful for the beauty of nature and people like the #wildearth naturalists that bring africa into our living-room. sending everyone who’d like one and needs one a big virtual hug,"['🐇', '🐣', '🐰']"
104,"good morning gunter!

happy easter 🐇 sunday. 

may his strength bring everyone together to make this a better world again! amen 🙏","good morning gunter!

happy easter  sunday. 

may his strength bring everyone together to make this a better world again! amen ","['🐇', '🙏']"
105,happy easter!! 🐇,happy easter!! ,['🐇']
106,"happy easter!! 🐰🐣🐇 
some of these are truly terrifying!!! 

#easter #happyeaster #horrorfan","happy easter!!  
some of these are truly terrifying!!! 

#easter #happyeaster #horrorfan","['🐰', '🐣', '🐇']"
107,happy #easter sunday! 🙏🥚🐇,happy #easter sunday! ,"['🙏', '🥚', '🐇']"
108,-///- that's so heartful to hear dear☺️💕 i'll do my best to maintain your expectations!,-///- that's so heartful to hear dear☺️ i'll do my best to maintain your expectations!,[]
109,"happy  blessed easter 🐣 sunday to you my friends!! hope your day is filled with sunshine, family, friends, great food, laughter  of course, lots of chocolate!! 😘🥰❤️🐣🐇🐰🌺🌼🌸","happy &amp; blessed easter  sunday to you my friends!! hope your day is filled with sunshine, family, friends, great food, laughter &amp; of course, lots of chocolate!! ❤️","['🐣', '🥰', '🐣', '🐇', '🐰']"
110,happy easter anna i hope you have a great day 🐇🌸❤️,happy easter anna i hope you have a great day ❤️,['🐇']
111,"wishing everyone health happiness and blessings, from erica and i 🐣🐇🤗","wishing everyone health happiness and blessings, from erica and i ","['🐣', '🐇']"
112,goodmorning!! happy easter my fam!! 🐇🐣 i hope you all have a fantastic day with y'all's family's!! love y'all so very much fam!! 🥰❤❤,goodmorning!! happy easter my fam!!  i hope you all have a fantastic day with y'all's family's!! love y'all so very much fam!! ❤❤,"['🐇', '🐣', '🥰']"
113,happy easter 🐇,happy easter ,['🐇']
114,"happy easter everyone💛🐇🐰 hope everyone has a wonderful day of love, family, and candy🐰🐇💛
#easter2023 #eastersunday #artist #photo #nftcommunity  #sundayvibes #sundaymorning #abstractartist #visualart","happy easter everyone hope everyone has a wonderful day of love, family, and candy
#easter2023 #eastersunday #artist #photo #nftcommunity  #sundayvibes #sundaymorning #abstractartist #visualart","['🐇', '🐰', '🐰', '🐇']"
115,i start with the more human like one! 😛🤩🥰 cover all in chocolate! 🐰🐇🐣😅😂,i start with the more human like one!  cover all in chocolate! ,"['🥰', '🐰', '🐇', '🐣', '😅', '😂']"
116,"have a happy easter!! 🐇 🐥🌷

thank you to all first responders who are working this long weekend, keeping us safe!

#staysafe #ptbo #lakefield #cavanmonaghan","have a happy easter!!  

thank you to all first responders who are working this long weekend, keeping us safe!

#staysafe #ptbo #lakefield #cavanmonaghan",['🐇']
117,"çok teşekkür ederiz 😇🥰
may this easter bring you new hope new faith and new beginnings,🤗😊#happyeaster 🥀🌺🐇","çok teşekkür ederiz 
may this easter bring you new hope new faith and new beginnings,#happyeaster ","['😇', '🥰', '🐇']"
118,happy easter penny 🤗🌸🌼🥚🐇,happy easter penny ,"['🥚', '🐇']"
119,happy easter!✝️😊☀️🌷🐇,happy easter!✝️☀️,['🐇']
120,weez love almost everything!! but nana especially!! 🍌🍌🐇🐇,weez love almost everything!! but nana especially!! ,"['🐇', '🐇']"
121,"3/ 🐇meet buck, my new defi hero, ready to hop into leveraging tokens on   

without cian, buck would be stuck in a maze of tedious tasks🔀😰

but with cian's user-friendly magic, he can now hop through defi like a pro!💪🚀","3/ meet buck, my new defi hero, ready to hop into leveraging tokens on   

without cian, buck would be stuck in a maze of tedious tasks

but with cian's user-friendly magic, he can now hop through defi like a pro!",['🐇']
122,frohe ostern 🐇,frohe ostern ,['🐇']
123,"🐇 icon: carlos sainz
💌 user: me :)
🌷 header: pinterest photo to match the aesthetic 
🧸 bio: finished quote and my interests 
⭐️link: -
🪩location: my age , personality type and fav footballer and driver 
🍒 pinned: my personality summed into one tweet

stolen from tobes :)"," icon: carlos sainz
 user: me :)
 header: pinterest photo to match the aesthetic 
🧸 bio: finished quote and my interests 
⭐️link: -
🪩location: my age , personality type and fav footballer and driver 
 pinned: my personality summed into one tweet

stolen from tobes &gt;:)",['🐇']
124,happy easter 🐇🐰🐣,happy easter ,"['🐇', '🐰', '🐣']"
125,happy easter🐇🐣,happy easter,"['🐇', '🐣']"
126,happy easter everybody 🐇 🐰 🎉 🎊,happy easter everybody    ,"['🐇', '🐰', '🎉']"
127,a very happy easter to all who celebrate. hope your day is filled with love. 🐇💙,a very happy easter to all who celebrate. hope your day is filled with love. ,['🐇']
128,"from everyone at kc's improvement  construction co., inc.....happy easter everyone 🐰✝️🐇","from everyone at kc's improvement &amp; construction co., inc.....happy easter everyone ✝️","['🐰', '🐇']"
129,happy easter to all that are celebrating🦍🦍❤️❤️🐇🐇,happy easter to all that are celebrating❤️❤️,"['🐇', '🐇']"
130,"hugo is looking quite debonair w/his new cut. 😍🐶🥰 jasper 🐈‍⬛ got a 🦁 cut last monday. after being without power for 51.5 hrs, he spent 2.5 hours sleeping in front of the heat vent when power ret'd. your forecast is most welcomed, ian. 🌞ty may the easter🐇spoil you  fam.💜","hugo is looking quite debonair w/his new cut.  jasper ‍⬛ got a  cut last monday. after being without power for 51.5 hrs, he spent 2.5 hours sleeping in front of the heat vent when power ret'd. your forecast is most welcomed, ian. ty may the easterspoil you &amp; fam.","['😍', '🥰', '🐇']"
131,"⸼  ۫  છ᤻ㅤ⊹ㅤ ݁ . .. ✧ the day 🌷!?!! 

🐇 you're the person i'll never stop looking for in a crowded place, it's you mark,thanks for saving my life 🫶🏻🫶🏻 

#nctzenselcaday #nsd #nctdream #marklee   
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ","⸼  ۫  છ᤻ㅤ⊹ㅤ ݁ . .. ✧ the day !?!! 

 you're the person i'll never stop looking for in a crowded place, it's you mark,thanks for saving my life 🫶🫶 

#nctzenselcaday #nsd #nctdream #marklee   
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ",['🐇']
132,happy easter 🐇🐣🐰🌸,happy easter ,"['🐇', '🐣', '🐰']"
133,happy easter! 🐣🐰🐇,happy easter! ,"['🐣', '🐰', '🐇']"
134,happy and blessed easter ❤️✝️🐇❤️,happy and blessed easter ❤️✝️❤️,['🐇']
135,happy easter! 🐣🐰🐇,happy easter! ,"['🐣', '🐰', '🐇']"
136,"hello friends, happy easter and welcome to masters sunday! #themasters #eastersunday ⛳️🐇","hello friends, happy easter and welcome to masters sunday! #themasters #eastersunday ⛳️",['🐇']
137,"gm space lords! baby yoda wants an easter egg so looks like i'm going to the market.. have a great day guys! 🐇✨
#nftcommunity #starwars #aiartists","gm space lords! baby yoda wants an easter egg so looks like i'm going to the market.. have a great day guys! ✨
#nftcommunity #starwars #aiartists",['🐇']
138,actually i am going to send him a happy easter text just to be petty. 😂🐇,actually i am going to send him a happy easter text just to be petty. ,"['😂', '🐇']"
139,happy easter 🐇🐇,happy easter ,"['🐇', '🐇']"
140,is wishing you all happy easter 🐣🐇,is wishing you all happy easter ,"['🐣', '🐇']"
141,"thank you, will.  have a wonderful day.  🌸🌻🐝🐇🐣","thank you, will.  have a wonderful day.  ","['🐇', '🐣']"
142,good morning and happy easter! 🐇😍😊,good morning and happy easter! ,"['🐇', '😍']"
143,thank you 🐇happy easter 🐣 have a wonderful new week 🌿🌺🎶🎻,thank you happy easter  have a wonderful new week ,"['🐇', '🐣']"
144,good morning happy easter☕️☀️🐇🕊️,good morning happy easter☕️☀️️,['🐇']
145,happy easter 🐇 💪🏾🤣,happy easter  ,"['🐇', '🤣']"
146,"happy easter 🐣🐇🐰             “🎶here comes fuzzy tail,
 hopping on the next hot tail .. easter is on it way 🎶”","happy easter              “here comes fuzzy tail,
 hopping on the next hot tail .. easter is on it way ”","['🐣', '🐇', '🐰']"
147,"p'feen your amazing today, i mean it's always been like that. i'm so proud of you our precious little bunny you are the best 🌷🐇

#srchafreen","p'feen your amazing today, i mean it's always been like that. i'm so proud of you our precious little bunny you are the best 

#srchafreen",['🐇']
148,happy easter 🐇 ⛪️,happy easter  ⛪️,['🐇']
149,happy easter to all of you too. 🐇🐣,happy easter to all of you too. ,"['🐇', '🐣']"
150,"happy easter, everyone may the grace of god be with y'all, over this most special weekend, be safe and enjoy with family🐇","happy easter, everyone may the grace of god be with y'all, over this most special weekend, be safe and enjoy with family",['🐇']
151,it's very sad but true.. just can't lower yourself to that. stay strong...happy easter 🐰🐣🐇,it's very sad but true.. just can't lower yourself to that. stay strong...happy easter ,"['🐰', '🐣', '🐇']"
152,"good morning to you and shadow!! be assured i put peanuts outside 😁
much love sister 🐿️🐇🖤","good morning to you and shadow!! be assured i put peanuts outside 
much love sister ️",['🐇']
153,happy easter day ☺️🐇,happy easter day ☺️,['🐇']
154,"did you know that the hare (easter bunny) in byzantine animal symbolism is considered the symbol of jesus christ?🐇  today, sharing is caring, and we wish you all a happy easter! 🥚","did you know that the hare (easter bunny) in byzantine animal symbolism is considered the symbol of jesus christ?  today, sharing is caring, and we wish you all a happy easter! ","['🐇', '🥚']"
155,happy easter 🐣🐇🩵,happy easter 🩵,"['🐣', '🐇']"
156,mr squirrel helping himself to the birds food this morning. happy easter 🐣🐇 everyone 🇮🇪🇺🇸,mr squirrel helping himself to the birds food this morning. happy easter  everyone ,"['🐣', '🐇']"
157,happy easter rubs🥚🐇❤️❤️hope you got a ton of chocolate and feeling better 🥰🥰🥰,happy easter rubs❤️❤️hope you got a ton of chocolate and feeling better ,"['🥚', '🐇', '🥰', '🥰', '🥰']"
158,happy easter to all who celebrate. may you have a happy and blessed day today. #happyeaster2023 🐇🐰🐣✝️,happy easter to all who celebrate. may you have a happy and blessed day today. #happyeaster2023 ✝️,"['🐇', '🐰', '🐣']"
159,"prepare to hop🐇 into a spectacular afternoon with widespread 70s throughout the valley this afternoon.

locations such as sacramento, stockton and modesto will likely see their warmest day of the year so far.

enjoy the day! #cawx","prepare to hop into a spectacular afternoon with widespread 70s throughout the valley this afternoon.

locations such as sacramento, stockton and modesto will likely see their warmest day of the year so far.

enjoy the day! #cawx",['🐇']
160,happy easter 🐣🐇! off to the gym and then church ✝️,happy easter ! off to the gym and then church ✝️,"['🐣', '🐇']"
161,happy easter 🐣🐇🐰,happy easter ,"['🐣', '🐇', '🐰']"
162,yes weez got space reserved for yoous martine! 🎉🎉🎊🎊🐇🐇,yes weez got space reserved for yoous martine! ,"['🎉', '🎉', '🐇', '🐇']"
163,you are definitely a bad influence🤣🌱🐸📚🎧🌷🐇,you are definitely a bad influence,"['🤣', '🐇']"
164,happy easter 🐇 💕,happy easter  ,['🐇']
165,happy easter 🐣🐇🐰 y’all !!!!,happy easter  y’all !!!!,"['🐣', '🐇', '🐰']"
166,"gm
happy easter! 🐇","gm
happy easter! ",['🐇']
167,"(🐇).... wts lfb newjeans
          ↳ hyein  danielle sg pc
 .onhand
     350 ea set (prio payo)
both sets must be taken to push through
- prio getting as a set for 700
t. wts lfb newjeans njwns nj photocard pc seasons greeting 23","().... wts lfb newjeans
          ↳ hyein &amp; danielle sg pc
 .onhand
     350 ea set (prio payo)
both sets must be taken to push through
- prio getting as a set for 700
t. wts lfb newjeans njwns nj photocard pc seasons greeting 23",['🐇']
168,happy easter 🐇 🙏💖,happy easter  ,"['🐇', '🙏']"
169,"kinda similar yea but if i had to point out a key difference then it's the weight factor,  this one is big but feels extremely light compared to the old one and i adore it🥹🥹","kinda similar yea but if i had to point out a key difference then it's the weight factor,  this one is big but feels extremely light compared to the old one and i adore it","['\U0001f979', '\U0001f979']"
170,thank you  may you have a fabulous easter as well. 🥂🐰🌷🌷🐇🍫🥂,thank you &amp; may you have a fabulous easter as well. ,"['🐰', '🐇']"
171,"good morning, sonya! ☀️ thank you, and i hope you have wonderful easter sunday, too. 🦋🌸🐇","good morning, sonya! ☀️ thank you, and i hope you have wonderful easter sunday, too. ",['🐇']
