ID,Comments,raw text,emojis
30,"thank you to the person who painted these rock eggs and left them for kids to find at the park! you made their day!
🐥🐣🐰

#artatthepark #easteregghunt2023","thank you to the person who painted these rock eggs and left them for kids to find at the park! you made their day!


#artatthepark #easteregghunt2023","['🐣', '🐰']"
31,"many blessings to you
🙏✝️🙏
🐣🐇🐥","many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
32,happy easter everyone 🐰🐣🌷✨,happy easter everyone ✨,"['🐰', '🐣']"
33,happy easter✝️🐣,happy easter✝️,['🐣']
34,happy easter 🐣🐰🐇 hope youse haz a wonderpaw day. safe travels🚗,happy easter  hope youse haz a wonderpaw day. safe travels,"['🐣', '🐰', '🐇']"
35,"i’m such a holiday as person , i’m ready to cook like i have 24543 kids and 10k family members , i’m ready to decorate and write everybody personal cards and shit 😂🐣🤍","i’m such a holiday as person , i’m ready to cook like i have 24543 kids and 10k family members , i’m ready to decorate and write everybody personal cards and shit ","['😂', '🐣', '🤍']"
36,"🤣

happy easter 🐣 ✨ #ukcraftershour #mhhsbd","

happy easter  ✨ #ukcraftershour #mhhsbd","['🤣', '🐣']"
37,some easter titties for y'all. 💛🐣,some easter titties for y'all. ,['🐣']
38,happy easter! 😄 🐣,happy easter!  ,['🐣']
39,love that for you 🙏🏽💙🐰🐣,love that for you ,"['🙏', '🐰', '🐣']"
40,happy easter! 🐣   🐰 🐣 🌷 🌼 🌸 listening to isreal and vatican easter service on my laptop 😀,happy easter!         listening to isreal and vatican easter service on my laptop ,"['🐣', '🐰', '🐣']"
41,"#kisssquad  
happy easter everyone 🐰💞🐣","#kisssquad  
happy easter everyone ","['🐰', '🐣']"
42,happy easter 🐣 jillian i hope you have an awesome day with the family❤️‍🔥,happy easter  jillian i hope you have an awesome day with the family❤️‍,"['🐣', '🔥']"
43,you’re welcome! happy easter! hope you’re enjoying the hols xx 🐣 💐 🍫,you’re welcome! happy easter! hope you’re enjoying the hols xx   ,['🐣']
44,who knew making a chocolate egg would be so satisfying #sundayfunday #easter  enjoy 🐣,who knew making a chocolate egg would be so satisfying #sundayfunday #easter  enjoy ,['🐣']
45,happy easter 🤍🐰🐣,happy easter ,"['🤍', '🐰', '🐣']"
46,"wishing everyone a safe and happy easter holiday from our chess family to yours 🐣♟️
#easter #utrgvchess #playchess  
looking for a fun game to play at your family or friend gathering..? 
why not a game of chess.? 😎","wishing everyone a safe and happy easter holiday from our chess family to yours ♟️
#easter #utrgvchess #playchess  
looking for a fun game to play at your family or friend gathering..? 
why not a game of chess.? ","['🐣', '😎']"
47,"good night my twitter friends, i hope you had a lovely easter sunday - wishing you a peaceful evening  a happy easter monday- keep safe, sincere kind wishes for those who need them most- peace to all xxx💙💛 #eastersunday #easterweekend #easterweekend #eastermonday #peace 🥰🐰🐣","good night my twitter friends, i hope you had a lovely easter sunday - wishing you a peaceful evening &amp; a happy easter monday- keep safe, sincere kind wishes for those who need them most- peace to all xxx #eastersunday #easterweekend #easterweekend #eastermonday #peace ","['🥰', '🐰', '🐣']"
48,happy easter 🐰🐣🐇 to you all!,happy easter  to you all!,"['🐰', '🐣', '🐇']"
49,the two people who made it all happen! my mom  dad and all of their grandbabies🙏🏼🐰🐣🤍,the two people who made it all happen! my mom &amp; dad and all of their grandbabies,"['🙏', '🐰', '🐣', '🤍']"
50,thank you dianne and gary for having us all over for a brilliant easter sunday! perfect! freddie loved the easter egg hunt!! well done georgie for sorting all that out! 🐣,thank you dianne and gary for having us all over for a brilliant easter sunday! perfect! freddie loved the easter egg hunt!! well done georgie for sorting all that out! ,['🐣']
51,happy easter 🐣,happy easter ,['🐣']
52,happy easter! 🐣🐰 🦄🦋🌷✝️🤍✨,happy easter!  ✝️✨,"['🐣', '🐰', '🤍']"
53,happy easter!!🐰🐣,happy easter!!,"['🐰', '🐣']"
54,#happyeaster from tony divino toyota! 🥚 🐣,#happyeaster from tony divino toyota!  ,"['🥚', '🐣']"
55,⚠️⚠️⚠️🚨🚨🚨 what is happening in bengal and why isn't anyone doing anything about it?,⚠️⚠️⚠️ what is happening in bengal and why isn't anyone doing anything about it?,[]
56,happy easter to your family too! 🐣,happy easter to your family too! ,['🐣']
57,happy easter 🐣,happy easter ,['🐣']
58,happy easter !!🐣,happy easter !!,['🐣']
59,"thank you
many blessings to you
🙏✝️🙏
🐣🐇🐥","thank you
many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
60,happy easter 🐣 🩵🐰,happy easter  🩵,"['🐣', '🐰']"
61,i’m sorry but i really want to see rapha create an easter egg 🥹 2021 easter 🐣 video made me laugh so much 🤗🥰🩷,i’m sorry but i really want to see rapha create an easter egg  2021 easter  video made me laugh so much 🩷,"['\U0001f979', '🐣', '🥰']"
62,"brunch time❣️
happy easter, everyone❣️
this is just a little ""something something"" i quickly whipped up together, before i make a fresh serving of liver and onions for later.✌🏾❤️🐇🐰🥚🐣🐤

#brunchtime#justalittlebrunch","brunch time❣️
happy easter, everyone❣️
this is just a little ""something something"" i quickly whipped up together, before i make a fresh serving of liver and onions for later.✌❤️

#brunchtime#justalittlebrunch","['🐇', '🐰', '🥚', '🐣']"
63,happy easter 🐣 everyone that dont me drop eggs in dese bitches cuh 🤦🏾‍♂️,happy easter  everyone that dont me drop eggs in dese bitches cuh ‍♂️,['🐣']
64,happy easter everyone 🐣,happy easter everyone ,['🐣']
65,hello  i would like to request #likecrazy by #jimin. thank you in advance! 🙏,hello  i would like to request #likecrazy by #jimin. thank you in advance! ,['🙏']
66,happy easter 🐣 everyone,happy easter  everyone,['🐣']
67,happy easter🐣,happy easter,['🐣']
68,"we wish you all a happy easter from our family to yours!!!
⛪🐇🐣🐑🐰✝️
we're open! join us for delicious food and fresh beer all day today!","we wish you all a happy easter from our family to yours!!!
⛪✝️
we're open! join us for delicious food and fresh beer all day today!","['🐇', '🐣', '🐰']"
69,happy easter 🐣,happy easter ,['🐣']
70,"happy easter 🐣 from southern cross media, llc!","happy easter  from southern cross media, llc!",['🐣']
71,#egopromotions - this easter hunt for these hands 🐰🐣 imma sign the easter bunny ✍️✍️✍️✍️ #easter #easterhands #easterhunt #eggs #peeps #april #boxingego,#egopromotions - this easter hunt for these hands  imma sign the easter bunny ✍️✍️✍️✍️ #easter #easterhands #easterhunt #eggs #peeps #april #boxingego,"['🐰', '🐣']"
72,thank you. i have a similar one but wasn't sure what it could be from. happy easter 🐣,thank you. i have a similar one but wasn't sure what it could be from. happy easter ,['🐣']
73,hahaha!! i loved it too lovely 😅🐰🌸 happy easter hon 🐰🙏🏻hope you’re having a blessed easter as well doll 🥚🐣🐰🌸💜💚💛🩷,hahaha!! i loved it too lovely  happy easter hon hope you’re having a blessed easter as well doll 🩷,"['😅', '🐰', '🐰', '🙏', '🥚', '🐣', '🐰']"
74,"we walk outside to casually find them like this 🤷🏼‍♀️ the girls practicing for san diego annual pup surfing competition, apparently 😂 happy easter 🐣🐰🐇","we walk outside to casually find them like this ‍♀️ the girls practicing for san diego annual pup surfing competition, apparently  happy easter ","['😂', '🐣', '🐰', '🐇']"
75,i wish i can be in a sketch though..😔,i wish i can be in a sketch though..,[]
76,happy easter 🐣 to everyone enjoy family and some good food today‼️,happy easter  to everyone enjoy family and some good food today‼️,['🐣']
77,winter is on the hunt at her grandma’s house for easter bunny eggs 🐣,winter is on the hunt at her grandma’s house for easter bunny eggs ,['🐣']
78,happy 😊 easter 🐣 to you my friend ❤️,happy  easter  to you my friend ❤️,['🐣']
79,"happy easter!!🐰🐣🌹 

some bunny loves you and wants to get to know you better 😘 

🐇 hop on over and see her 👉👉👉 

#asmr #asmrday #internationalasmrday #asmrtist #asmrvideo #asmr福利 #asmr配信 #easter #happyeaster #flower #sundayvibes","happy easter!! 

some bunny loves you and wants to get to know you better  

 hop on over and see her  

#asmr #asmrday #internationalasmrday #asmrtist #asmrvideo #asmr福利 #asmr配信 #easter #happyeaster #flower #sundayvibes","['🐰', '🐣', '🐇', '👉', '👉', '👉']"
80,thanks so much bro happy easter✌️🐰🐣💨💨😶‍🌫️🙏,thanks so much bro happy easter✌️‍️,"['🐰', '🐣', '🙏']"
81,just wanted to wish you two a happy easter and i hope you both have a blessed day✝️🐰🐣,just wanted to wish you two a happy easter and i hope you both have a blessed day✝️,"['🐰', '🐣']"
82,happy easter you and your fam 🐣,happy easter you and your fam ,['🐣']
83,"happy easter to you, and all of the other ""christians"" like you, who would have happily sent jesus to rwanda. 🤔🐇🐣","happy easter to you, and all of the other ""christians"" like you, who would have happily sent jesus to rwanda. ","['🤔', '🐇', '🐣']"
84,my two 🥰❤️ happy easter!!! 🐣,my two ❤️ happy easter!!! ,"['🥰', '🐣']"
85,happy easter sunday! 🙏🏽💗💜🐣,happy easter sunday! ,"['🙏', '🐣']"
86,"happy easter, everyone! 🐇🐰🐣🥚","happy easter, everyone! ","['🐇', '🐰', '🐣', '🥚']"
87,hoppy easter from our stud muffin! 🐣🐇,hoppy easter from our stud muffin! ,"['🐣', '🐇']"
88,that's how i always say happy easter. 🙄🐇🐣🐰🤯,that's how i always say happy easter. ,"['🐇', '🐣', '🐰']"
89,"thank you
many blessings to you
🙏✝️🙏
🐣🐇🐥","thank you
many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
90,the easter bunny stopped by today! 🐣,the easter bunny stopped by today! ,['🐣']
91,glorious easter day in #richmondpark ☀️🐰🐣🥰#treeclub,glorious easter day in #richmondpark ☀️#treeclub,"['🐰', '🐣', '🥰']"
92,"shame on you shippers🤢

#krpkab","shame on you shippers

#krpkab",[]
93,"hoppy easter!!! 🐣🥚💐🐰 may your day be filled with epic egg hunts, hollow chocolate bunnies, squishy peeps,  full of love shared with all 💜🩵🩷💛 #happyeaster #hoppyeaster #heisrisen #lizclimo #hope #love #forgiveness #faith","hoppy easter!!!  may your day be filled with epic egg hunts, hollow chocolate bunnies, squishy peeps, &amp; full of love shared with all 🩵🩷 #happyeaster #hoppyeaster #heisrisen #lizclimo #hope #love #forgiveness #faith","['🐣', '🥚', '🐰']"
94,grateful that everyone got them both an easter basket 🐣,grateful that everyone got them both an easter basket ,['🐣']
95,happy easter!!! 🐣🩵,happy easter!!! 🩵,['🐣']
96,happy easter! 🐣,happy easter! ,['🐣']
97,happy easter 🐣 🥰🫶🏾,happy easter  🫶,"['🐣', '🥰']"
98,"hi grace! beef is so awesome. i think thunderbolts movie is in the right hands w/ lee sung jin. the show is so wild but always comes around to the unbelievable being believable and the connections of people through their traumas, given  self made. happy 🐣","hi grace! beef is so awesome. i think thunderbolts movie is in the right hands w/ lee sung jin. the show is so wild but always comes around to the unbelievable being believable and the connections of people through their traumas, given &amp; self made. happy ",['🐣']
99,happy easter 🐰🐣,happy easter ,"['🐰', '🐣']"
100,"recents and leftovers #1 

happy easter 🐣// 👍  ♻️ #mw2 #mwii","recents and leftovers #1 

happy easter //  &amp; ♻️ #mw2 #mwii","['🐣', '👍']"
101,"wordle 659 4/6
😁
🟩⬛⬛🟨⬛
🟩🟨⬛⬛⬛
🟩⬛🟩⬛🟨
🟩🟩🟩🟩🟩
what a word though😅!! evening jacko  happy easter to you 🐰🐣😁","wordle 659 4/6

⬛⬛⬛
⬛⬛⬛
⬛⬛

what a word though!! evening jacko &amp; happy easter to you ","['😅', '🐰', '🐣']"
102,happy easter! 🐣😍,happy easter! ,"['🐣', '😍']"
103,yes 🙌  a very happy easter 🐣 to you angela ✨🐣🤗,yes  &amp; a very happy easter  to you angela ✨,"['🐣', '🐣']"
104,"at 33, i had an “easter speech.”
hopefully i inspire the kids to be great.
happy easter 🐣","at 33, i had an “easter speech.”
hopefully i inspire the kids to be great.
happy easter ",['🐣']
105,happy easter 🐣,happy easter ,['🐣']
106,happy easter 🐣,happy easter ,['🐣']
107,happy happy easter!!!!! 🐰🐣 !!! have a fantastic one!!!,happy happy easter!!!!!  !!! have a fantastic one!!!,"['🐰', '🐣']"
108,thanks 💜 happy easter 🐰🐣,thanks  happy easter ,"['🐰', '🐣']"
109,dream ahead ex another dawn filly wishes everyone a happy easter 🐣,dream ahead ex another dawn filly wishes everyone a happy easter ,['🐣']
110,happy easter 🐣🐥🐰🌸🌼🌷,happy easter ,"['🐣', '🐰']"
111,you are just too hysterical and offensive to everyone other than yourself! have some bloody respect! no t only have you become #transphobic but yr tweet 🐣 s borderline racist,you are just too hysterical and offensive to everyone other than yourself! have some bloody respect! no t only have you become #transphobic but yr tweet  s borderline racist,['🐣']
112,"about to enjoy my day af 

happy easter 🐣","about to enjoy my day af 

happy easter ",['🐣']
113,"thank you
many blessings to you
🙏✝️🙏
🐣🐇🐥","thank you
many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
114,"spring has arrived in my #animalcrossing island and i'm loving all the colorful easter eggs and festive decorations! wishing you all a happy and hoppy easter 🐣🐰🐇🌸
#easter2023 #acnh
#gaming

live 💜","spring has arrived in my #animalcrossing island and i'm loving all the colorful easter eggs and festive decorations! wishing you all a happy and hoppy easter 
#easter2023 #acnh
#gaming

live ","['🐣', '🐰', '🐇']"
115,happy easter 🐣,happy easter ,['🐣']
116,"happy easter, everyone🐣💛! create a soft, pastel look with these spring shades – perfect for embracing the season. how are you spending the day?  #marykay","happy easter, everyone! create a soft, pastel look with these spring shades – perfect for embracing the season. how are you spending the day?  #marykay",['🐣']
117,happy easter 🐣,happy easter ,['🐣']
118,remember jesus walks amongst us for the next 39 days. until the day of ascension may 18 ❤️🐣🙏,remember jesus walks amongst us for the next 39 days. until the day of ascension may 18 ❤️,"['🐣', '🙏']"
119,happy easter lwc 😘❤️🌷💛🐰💚🐣💝,happy easter lwc ❤️,"['🐰', '🐣']"
120,thank you ❤️❤️❤️ happy easter leen! 🐣,thank you ❤️❤️❤️ happy easter leen! ,['🐣']
121,happy easter keith xx🐣,happy easter keith xx,['🐣']
122,happy easter 🐣,happy easter ,['🐣']
123,aww happy easter to willow!! what a beautiful kitty!! 🐣🐰🐇🥰,aww happy easter to willow!! what a beautiful kitty!! ,"['🐣', '🐰', '🐇', '🥰']"
124,happy easter to you and yours! 🐣🕊️🐇✝️,happy easter to you and yours! ️✝️,"['🐣', '🐇']"
125,and to you 🐰❤️🐣,and to you ❤️,"['🐰', '🐣']"
126,#vipeaster. happy easter love walter 🐶🐣,#vipeaster. happy easter love walter ,['🐣']
127,it's a good day! happy easter! 💕🐇🐣🐰✌️🌷🌺🌻 🎶,it's a good day! happy easter! ✌️ ,"['🐇', '🐣', '🐰']"
128,good afternoon erik..hope you are having a fantastic day.happy easter 🐣blessings..enjoy this beautiful day🤗🌹💕🐣🐣🐣🐣🍷🍷🍷🍷🍷,good afternoon erik..hope you are having a fantastic day.happy easter blessings..enjoy this beautiful day,"['🐣', '🐣', '🐣', '🐣', '🐣']"
129,i just found out throwing hard boiled eggs at people isn’t apart of easter 🐣,i just found out throwing hard boiled eggs at people isn’t apart of easter ,['🐣']
130,enjoy your day and be thankful for the gift of the resurrection. 🐇🐣🌸,enjoy your day and be thankful for the gift of the resurrection. ,"['🐇', '🐣']"
131,"do have a wonderful easter 🐣 day! we are so much better together, so get up and dance! #stlblackwoman","do have a wonderful easter  day! we are so much better together, so get up and dance! #stlblackwoman",['🐣']
132,happy easter from mine💛🐣,happy easter from mine,['🐣']
133,"easter 🐣 sunday run 🏃🏻‍♂️✅ no strategy, except one 🦶 in front in front of the other. happy easter everyone. #easterrun #sundayfunday #sundaymotivation","easter  sunday run ‍♂️✅ no strategy, except one  in front in front of the other. happy easter everyone. #easterrun #sundayfunday #sundaymotivation",['🐣']
134,"easter messages 🐣💛

♐︎ sagittarius:  keep enjoying your day, you got this. 

♑︎ capricorn: money is flowing in easy today, financial luck is rewarding you. 

♒︎ aquarius: your day is going wholesome surrounded by family. 

♓︎ pisces: your loving your day . an argument-","easter messages 

♐︎ sagittarius:  keep enjoying your day, you got this. 

♑︎ capricorn: money is flowing in easy today, financial luck is rewarding you. 

♒︎ aquarius: your day is going wholesome surrounded by family. 

♓︎ pisces: your loving your day . an argument-",['🐣']
135,happy easter 🐣 to you,happy easter  to you,['🐣']
136,"we wish all our students members and everyone the special blessings of the easter period 😊.

we hope you’ve had a good easter sunday 🐣.

with love from sfc, oau.❤️","we wish all our students members and everyone the special blessings of the easter period .

we hope you’ve had a good easter sunday .

with love from sfc, oau.❤️",['🐣']
137,my babies… happy easter!!! 🐣🐰🐇,my babies… happy easter!!! ,"['🐣', '🐰', '🐇']"
138,happy easter guys 🐣❤️ big love to you all ❤️❤️❤️ that’s an amazing photo 😍,happy easter guys ❤️ big love to you all ❤️❤️❤️ that’s an amazing photo ,"['🐣', '😍']"
139,"happy easter milord!!! 🐣 i hope you are feeling even just a little bit better. i love you and god be with you always. you are always on my mind, in my prayers and my heart, as well as your family and friends. i also hope you had a great day 🥰😚❤️🛐✝️🌸","happy easter milord!!!  i hope you are feeling even just a little bit better. i love you and god be with you always. you are always on my mind, in my prayers and my heart, as well as your family and friends. i also hope you had a great day ❤️✝️","['🐣', '🥰']"
140," happy egg hunting 🍬🍭🐣

especially, to the on-call pathology resident hunting for biopsy clip in the adipose “haystack” 😅","&amp; happy egg hunting 

especially, to the on-call pathology resident hunting for biopsy clip in the adipose “haystack” ","['🐣', '😅']"
141,"enjoy your time with your family and son, be you and do what you want, kudos to you 
happy easter 🐰🐣","enjoy your time with your family and son, be you and do what you want, kudos to you 
happy easter ","['🐰', '🐣']"
142,happy easter 🐣,happy easter ,['🐣']
143,happy easter!!!🐣 (@ lulu california bistro) on #yelp,happy easter!!! (@ lulu california bistro) on #yelp,['🐣']
144,"very nice, good luck for everyone 🙂
happy easter 🐣","very nice, good luck for everyone 
happy easter ",['🐣']
145,me all today. happy easter y’all 🌚🐣,me all today. happy easter y’all ,['🐣']
146,happy easter everyone  to those who aren’t here with us today 🕊️🐣🫶🏻,happy easter everyone &amp; to those who aren’t here with us today ️🫶,['🐣']
147,she’s adorable! she certainly knows her own mind! happy easter 🐣🐇,she’s adorable! she certainly knows her own mind! happy easter ,"['🐣', '🐇']"
148,happy easter 🎀🐣,happy easter ,['🐣']
149,happy easter ⛪🐰🐣 everyone,happy easter ⛪ everyone,"['🐰', '🐣']"
150,hello  i would love to listen to #likecrazy by #jimin. could you please play it?? thank you so much! 🙏,hello  i would love to listen to #likecrazy by #jimin. could you please play it?? thank you so much! ,['🙏']
151,have a happy easter 🐣,have a happy easter ,['🐣']
152,"coffee-date with me or 100 #xrp ? ☕️

happy easter to my beautiful #xrpcommunity 🐣🐇💐🪺

don’t forget to follow me on insta 💗","coffee-date with me or 100 #xrp ? ☕️

happy easter to my beautiful #xrpcommunity 🪺

don’t forget to follow me on insta ","['🐣', '🐇']"
153,happy easter 🐣🐰🫶🏻,happy easter 🫶,"['🐣', '🐰']"
154,we have cooler weather in fl. though our rain chances have dwindled. we need the rain. happy easter 🐣 🐶💙🐶💖🐶💙🐶💖🥰,we have cooler weather in fl. though our rain chances have dwindled. we need the rain. happy easter  ,"['🐣', '🥰']"
155,happy easter from mine🐣🫶🏾🌍,happy easter from mine🫶,['🐣']
156,"happy easter 🐣

coming your way tomorrow... fully funded uk msc, mba  phd still accepting applications for sept/oct intake

be the first to know when the video drops by subscribing here:  
best in digging 🏅✌🏾😁","happy easter 

coming your way tomorrow... fully funded uk msc, mba &amp; phd still accepting applications for sept/oct intake

be the first to know when the video drops by subscribing here:  
best in digging ✌",['🐣']
157,happy easter #teambadger 🐣🐰❤️,happy easter #teambadger ❤️,"['🐣', '🐰']"
158,"happy easter from us all at woodbridge town fc reserves
🖤🤍🐣🐰","happy easter from us all at woodbridge town fc reserves
","['🤍', '🐣', '🐰']"
159,happy easter 🐇🐣 i’m back in the chi yee yee 😂🤷🏾‍♂️✍🏾👏🏾🔑🔱,happy easter  i’m back in the chi yee yee ‍♂️✍,"['🐇', '🐣', '😂']"
160,happy easter 💗🐣🐰,happy easter ,"['🐣', '🐰']"
161,"afternoon   friends 
have a blessed bunny 🐰 of an easter 🐣 day!  
1776🇺🇲🦅❤️","afternoon  &amp; friends 
have a blessed bunny  of an easter  day!  
1776❤️","['🐰', '🐣']"
162,🐰~some bunny loves you~🐣🌷💚🐥🌿💛🦋🌷🤍🌻🩵🐰~happy easter~🐣🌷💚🐥🌿💛🦋🌷🤍🌻🩵🐰,~some bunny loves you~🩵~happy easter~🩵,"['🐰', '🐣', '🤍', '🐰', '🐣', '🤍', '🐰']"
163,"thank you
many blessings to you
🙏✝️🙏
🐣🐇🐥","thank you
many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
164,a sad realization! 😂🐣🐰 happy easter!,a sad realization!  happy easter!,"['😂', '🐣', '🐰']"
165,neck bones greens macaroni yams  corn bread with some banana pudding for dessert 😋 happy easter 🐣,neck bones greens macaroni yams &amp; corn bread with some banana pudding for dessert  happy easter ,"['😋', '🐣']"
166,"we hope you’ve had a good easter, blues fans! 🐣","we hope you’ve had a good easter, blues fans! ",['🐣']
167,"sending warm #easter wishes from our island paradise! 🐣🍍🐰🤙🏽 #happyeaster
📸","sending warm #easter wishes from our island paradise!  #happyeaster
","['🐣', '🐰']"
168,happy easter  and may god bless you!! 🐰🐣🥚⛪️✝️📖🙏🏿🙏🏿🙏🏿🙏🏿❤️❤️❤️❤️😊,happy easter  and may god bless you!! ⛪️✝️❤️❤️❤️❤️,"['🐰', '🐣', '🥚', '🙏', '🙏', '🙏', '🙏']"
169,had chocolate and cookies i was gifted. with water in my new egg cup ! 🐣🥚,had chocolate and cookies i was gifted. with water in my new egg cup ! ,"['🐣', '🥚']"
170,happy easter everyone🐣💛,happy easter everyone,['🐣']
171,"happy happy easter, you guys!! 🐰🐣🥹✨🫶🏼","happy happy easter, you guys!! ✨🫶","['🐰', '🐣', '\U0001f979']"
172,hey everybody 👋😊 and “happy easter 🐣“! we just want to say “thank you!“ 🙏🏻 for the great support of our latest track “lift me up“  which is getting some nice support! we are really happy 👏! #housemusic #housemusicalllifelong #pianohouse,hey everybody  and “happy easter “! we just want to say “thank you!“  for the great support of our latest track “lift me up“  which is getting some nice support! we are really happy ! #housemusic #housemusicalllifelong #pianohouse,"['🐣', '🙏']"
173,happy easter everyone 🐣,happy easter everyone ,['🐣']
174,"thank you
many blessings to you
🙏✝️🙏
🐣🐇🐥","thank you
many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
